CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,Score 2013,Change in Yearly Score from 2012,Property Rights,Change in Property Rights from 2012,Freedom from Corruption,Change in Freedom from Corruption from 2012,Fiscal Freedom ,Change in Fiscal Freedom from 2012,Gov't Spending,Change in Gov't Spending from 2012,Business Freedom,Change in Business Freedom from 2012,Labor Freedom,Change in Labor Freedom from 2012,Monetary Freedom,Change in Monetary Freedom from 2012,Trade Freedom,Change in Trade Freedom from 2012,Investment Freedom ,Change in Investment Freedom from 2012,Financial Freedom,Change in Financial Freedom from 2012,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
1,Afghanistan,Afghanistan,Asia-Pacific,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,83.2,N/A,59.7,N/A,75.8,N/A,69.5,N/A,N/A,N/A,65,N/A,N/A,N/A,N/A,20,20,9.2,23.7,Afghanistan,31.1,$29.70 ,5.7,10.3,$956 ,N/A,11.2,$83.40 ,12.1
2,Albania,Albania,Europe,58,27,65.2,0.1,30,-5,31,-2,92.6,1.2,75.1,5.6,81,2.8,49,-2,78.4,-0.2,79.8,0,65,0,70,0,5.1,10,10,23.3,28.8,Albania,3.2,$24.90 ,2,4.4,"$7,741 ",13.5,3.4,"$1,031.40 ",58.9
3,Algeria,Algeria,Middle East / North Africa,145,14,49.6,-1.4,30,0,29,0,80.4,-2.5,44.1,-3.8,65.2,-1.1,52.6,-1.8,76.6,0.3,67.8,-5,20,0,30,0,8.6,35,25,10.4,43.1,Algeria,36,$263.70 ,2.5,2.7,"$7,333 ",10,4.5,"$2,571.00 ",9.9
4,Angola,Angola,Sub-Saharan Africa,158,40,47.3,0.6,15,-5,20,1,82.6,-1.5,60.6,7.4,43.1,-2.4,44.8,0.9,61.5,0.3,70.2,5,35,0,40,0,7.4,17,35,14.9,36.3,Angola,19.6,$115.70 ,3.4,8.8,"$5,895 ",N/A,13.5,"($5,585.50)",30.9
5,Argentina,Argentina,South and Central America / Caribbean,160,27,46.7,-1.3,15,-5,30,1,64.3,-1.2,52.1,-4.8,60.1,-0.9,47.4,-1.5,60.4,-0.3,67.6,0,40,0,30,0,6.2,35,35,33.5,40,Argentina,40.9,$716.40 ,8.9,6.8,"$17,516 ",7.2,9.8,"$7,243.10 ",44.2
6,Armenia,Armenia,Europe,38,17,69.4,0.6,30,0,26,0,88,-1.3,82.1,7.2,87.6,-0.2,77.1,0.5,73,-0.1,85.4,0,75,0,70,0,2.3,20,20,20,24.4,Armenia,3.3,$17.90 ,4.4,2.2,"$5,384 ",5.9,7.7,$524.60 ,35.1
7,Australia,Australia,Asia-Pacific,3,3,82.6,-0.5,90,0,88,1,66.4,3,62.8,-4.3,95.5,3.6,83.5,-7.1,83.8,-0.7,86.2,0,80,0,90,0,1.9,45,30,20.9,35.2,Australia,22.7,$914.50 ,2,2.6,"$40,234 ",5.1,3.4,"$41,316.70 ",22.9
8,Austria,Austria,Europe,25,14,71.8,1.5,90,0,78,-1,51.1,0.6,23.5,8.1,73.6,3.3,80.4,2.3,79.3,-2.9,86.8,-0.4,85,5,70,0,1.6,50,25,42,50.5,Austria,8.4,$352.00 ,3.1,1.3,"$41,822 ",4.5,3.6,"$14,127.90 ",72.2
9,Azerbaijan,Azerbaijan,Asia-Pacific,88,14,59.7,0.8,25,5,24,0,85.5,0.6,67.8,4.1,69.2,0.6,79.4,-2.2,73.5,-1,77.2,0,55,0,40,0,3.9,30,20,12.4,32.8,Azerbaijan,9.1,$93.10 ,0.1,9.7,"$10,202 ",1,7.9,"$1,465.00 ",10.2
10,"Bahamas, The",Bahamas,South and Central America / Caribbean,35,3,70.1,2.1,70,0,73,18,97,-0.7,84.9,-0.3,71.3,0.4,81.6,-1.1,75.8,-0.2,47,4.8,30,0,70,0,21.5,0,0,17.4,22.4,The Bahamas,0.3,$10.80 ,2,-0.5,"$30,959 ",13.7,2.5,"$1,533.30 ",48.6
