CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,Score 2013,Change in Yearly Score from 2012,Property Rights,Change in Property Rights from 2012,Freedom from Corruption,Change in Freedom from Corruption from 2012,Fiscal Freedom ,Change in Fiscal Freedom from 2012,Gov't Spending,Change in Gov't Spending from 2012,Business Freedom,Change in Business Freedom from 2012,Labor Freedom,Change in Labor Freedom from 2012,Monetary Freedom,Change in Monetary Freedom from 2012,Trade Freedom,Change in Trade Freedom from 2012,Investment Freedom ,Change in Investment Freedom from 2012,Financial Freedom,Change in Financial Freedom from 2012,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
11,Bahrain,Bahrain,Middle East / North Africa,12,1,75.5,0.3,55,0,51,2,99.9,0,72.4,0.2,75.8,-0.7,90.4,-0.7,72.5,2.1,82.8,0,75,0,80,0,3.6,0,0,3.9,30.3,Bahrain,1.1,$31.10 ,1.8,4.8,"$27,556 ",4,1,$780.90 ,36.5
12,Bangladesh,Bangladesh,Asia-Pacific,132,28,52.6,-0.6,20,0,27,3,72.7,-0.1,92.1,-1.8,68,-0.5,51.9,-4,65.4,-2.1,54,0,55,0,20,0,13,25,45,9,16.2,Bangladesh,166.7,$282.20 ,6.1,6.1,"$1,693 ",5,10.7,"$1,136.40 ",42.9
13,Barbados,Barbados,South and Central America / Caribbean,39,6,69.3,0.3,80,0,78,0,74.5,3.4,54.2,14.1,74.8,-15.2,84.4,4.4,72.1,-3.7,60.5,0,55,0,60,0,14.8,35,25,26.5,39.1,Barbados,0.3,$6.50 ,0.5,0,"$23,417 ",11.2,9.4,$333.60 ,117.3
14,Belarus,Belarus,Europe,154,42,48,-1,20,0,24,-1,88.8,2.2,43.5,8.6,75.2,3.9,76.9,-0.1,40.7,-24.6,80.8,0.4,20,0,10,0,2.1,12,18,25.6,43.4,Belarus,9.4,$141.80 ,5.3,6.4,"$15,028 ",N/A,53.2,"$3,985.80 ",50.2
15,Belgium,Belgium,Europe,40,18,69.2,0.2,80,0,75,4,45,0.2,14.5,2.4,91.6,-0.7,69.8,-1.5,79.3,-1.9,86.8,-0.3,80,0,70,0,1.6,50,33,43.8,53.4,Belgium,11,$413.30 ,1.9,1,"$37,737 ",7.4,3.5,"$89,142.40 ",98.5
16,Belize,Belize,South and Central America / Caribbean,102,20,57.3,-4.6,30,0,0,-20,82.2,-0.6,72.6,-2,72.6,-1,71.4,-10.8,77.3,-0.3,77.2,-0.9,40,-10,50,0,6.4,25,25,23.1,30.2,Belize,0.3,$2.80 ,2.5,2,"$8,264 ",13.1,1.9,$93.80 ,80.3
17,Benin,Benin,Sub-Saharan Africa,101,15,57.6,1.9,30,0,30,2,76.1,-0.1,86.1,6.2,45.4,2.5,49.7,-1.8,79.9,0.2,59.3,0,70,10,50,0,15.4,35,30,16.2,21.6,Benin,9.9,$14.70 ,3.1,3.6,"$1,481 ",N/A,2.7,$118.50 ,31.3
18,Bhutan,Bhutan,Asia-Pacific,122,25,55,-1.6,60,0,57,0,82.7,-1.1,38.8,-16.5,60.5,0.8,84.4,5.8,67.3,-5.3,49.5,0,20,0,30,0,17.8,25,30,14.4,45.2,Bhutan,0.7,$4.30 ,5.9,9.1,"$6,112 ",4,8.6,$13.90 ,82
19,Bolivia,Bolivia,South and Central America / Caribbean,156,25,47.9,-2.3,10,0,28,0,88.8,1.8,64.1,1.9,55.8,-0.7,30.8,-10,67.4,-5.4,74.3,0,10,-10,50,0,5.4,13,25,18,34.6,Bolivia,10.6,$50.90 ,5.1,4.8,"$4,789 ",5.8,9.9,$858.90 ,32.9
20,Bosnia and Herzegovina,BosniaHerzegovina,Europe,103,38,57.3,0,20,0,32,0,83.2,-1.1,26.9,2.5,54.3,-0.9,61.2,0.8,79,-1.7,86.4,0.4,70,0,60,0,1.8,10,10,38.5,49.4,Bosnia and Herzegovina,3.9,$31.60 ,1.7,2.2,"$8,133 ",43.3,3.7,$435.10 ,40.6
21,Botswana,Botswana,Sub-Saharan Africa,30,2,70.6,1,70,0,61,3,79.5,1.2,65.1,11.4,69,-0.1,69.8,-0.4,72,-0.4,79.7,0,70,-5,70,0,5.2,25,22,30.7,34.1,Botswana,1.9,$29.70 ,4.6,2.8,"$16,030 ",7.5,8.5,$587.10 ,17.3
22,Brazil,Brazil,South and Central America / Caribbean,100,19,57.7,-0.2,50,0,38,1,70.3,1.2,54.8,0,53,-0.7,57.2,-1.9,74.4,-1.4,69.7,0,50,0,60,0,7.6,27.5,34,32.5,38.8,Brazil,194.9,"$2,294.20 ",2.7,4.2,"$11,769 ",6,6.6,"$66,660.10 ",66.2
23,Bulgaria,Bulgaria,Europe,60,29,65,0.3,30,0,33,-3,94,0.4,64.2,13.9,73.6,0.9,74.8,-9.4,78.6,0.8,86.8,-0.3,55,0,60,0,1.6,10,10,19.9,34.6,Bulgaria,7.4,$101.00 ,1.7,1.7,"$13,597 ",9.6,3.4,"$1,864.50 ",17
24,Burkina Faso,BurkinaFaso,Sub-Saharan Africa,86,10,59.9,-0.7,30,0,30,-1,81.4,1,82,-2,61.2,-1.6,56.4,-2.5,80.6,-0.8,72.5,0,55,0,50,0,8.8,30,30,7.8,24.5,Burkina Faso,15,$22.00 ,5.6,5.1,"$1,466 ",N/A,2.8,$7.40 ,29.4
25,Burma,Burma,Asia-Pacific,172,40,39.2,0.5,10,0,15,1,81.9,-0.1,96.8,0.8,20,0,20,0,65.1,3.9,73.6,0,0,0,10,0,3.2,30,30,3.2,10.4,Burma,62.4,$82.70 ,5.5,6.3,"$1,325 ",5.5,4.2,$850.00 ,44.3
26,Burundi,Burundi,Sub-Saharan Africa,148,34,49,0.9,20,0,19,1,71.5,-0.7,22.6,-0.3,58.4,12.3,66.4,-0.8,68.7,-2.2,78.9,0,55,0,30,0,5.5,35,35,20.1,50.8,Burundi,8.4,$5.20 ,4.2,4.3,$615 ,N/A,14.9,$1.70 ,35.3
27,Cambodia,Cambodia,Asia-Pacific,95,16,58.5,0.9,30,0,21,0,90.9,-0.2,88.4,-1.6,39.4,-1.3,54.2,7,81.3,0.6,70.2,5,60,0,50,0,9.9,20,20,10.7,19.7,Cambodia,15.1,$33.50 ,6.1,5.8,"$2,216 ",3.5,5.5,$891.70 ,28.6
28,Cameroon,Cameroon,Sub-Saharan Africa,133,27,52.3,0.5,30,0,25,3,69.3,0,87.1,-3.7,46.8,-0.3,55.5,7.4,69.9,-1,54.9,0,35,0,50,0,15,38.5,38.5,10.3,20.7,Cameroon,20.9,$47.30 ,4.1,3,"$2,257 ",N/A,2.9,$360.00 ,12.9
29,Canada,Canada,North America,6,1,79.4,-0.5,90,0,87,-2,79.8,0.6,44.8,3.1,91.7,-4.9,82.3,0.5,75.2,-2.1,88.2,0.3,75,0,80,0,0.9,29,15,31,42.9,Canada,34.4,"$1,396.10 ",2.5,1.1,"$40,541 ",7.4,2.9,"$40,931.50 ",85
30,Cape Verde,CapeVerde,Sub-Saharan Africa,65,4,63.7,0.2,70,5,55,4,77.9,0.6,65.4,3.6,58.9,-0.1,40.3,-8.2,78,-2.5,66.9,0,65,0,60,0,11.6,35,25,19.1,33.9,Cape Verde,0.5,$2.10 ,5,5.8,"$3,947 ",10.7,4.5,$93.10 ,77.6
31,Central African Republic,CentralAfricanRepublic,Sub-Saharan Africa,142,31,50.4,0.1,20,0,22,1,65.1,-0.1,92.4,-0.5,35.2,-2.1,47.9,-1.2,78.1,3.5,57.8,0,55,0,30,0,13.6,50,30,9.3,15.9,Central African Republic,4.7,$3.60 ,3.1,2.8,$768 ,N/A,0.7,$109.20 ,40.9
32,Chad,Chad,Sub-Saharan Africa,164,41,45.2,0.4,20,0,20,3,50.4,0.2,75.5,1.3,25.2,0.3,40.5,-3.2,74.6,2.1,55.6,0,50,0,40,0,14.7,60,40,5.2,28.6,Chad,10.5,$19.50 ,1.6,2.9,"$1,865 ",N/A,1.9,"$1,855.00 ",32.2
33,Chile,Chile,South and Central America / Caribbean,7,1,79,0.7,90,0,72,0,77.6,0.2,83.7,1.6,70.5,1.9,74.2,-0.9,84.6,-1,82,0,85,5,70,0,4,40,18.5,17.3,23.3,Chile,17.4,$299.60 ,5.9,3.9,"$17,222 ",6.1,3.3,"$17,299.00 ",9.9
34,China,China,Asia-Pacific,136,29,51.9,0.7,20,0,36,1,70.2,-0.2,83.3,-0.8,48,1.6,62.6,7.2,71.6,-2.6,72,0.4,25,0,30,0,4,45,25,18.2,23.6,China,1348.1,"$11,300.00 ",9.2,10.5,"$8,382 ",6.5,5.4,"$123,985.00 ",25.8
35,Colombia,Colombia,South and Central America / Caribbean,37,5,69.6,1.6,50,0,34,-1,76.1,0.1,75.2,1.1,90.2,0.8,79.3,-0.4,78.7,0,72.2,0,70,5,70,10,8.9,33,33,14.4,28.7,Colombia,46.1,$472.00 ,5.9,4.4,"$10,249 ",10.9,3.4,"$13,234.20 ",34.7
36,Comoros,Comoros,Sub-Saharan Africa,157,39,47.5,1.8,30,0,24,3,64.7,-0.2,82.4,-2.9,44.7,3.2,51.2,20,74.6,-3.7,68.8,-0.6,15,0,20,0,8.1,30,50,11.4,24.3,Comoros,0.7,$0.80 ,2.2,1.5,"$1,232 ",N/A,6.8,$6.80 ,51.2
37,"Congo, Dem. Rep.",DemcoraticRepublicCongo,Sub-Saharan Africa,171,44,39.6,-1.5,10,0,20,0,71.4,-1.1,60.1,-16,38.7,0,36.3,-2.7,56.5,5.3,63,0,20,0,20,0,11,30,40,18.9,36.5,Democratic Republic of Congo,72.6,$25.30 ,6.9,5.8,$348 ,N/A,15.5,"$1,686.90 ",32
38,"Congo, Rep.",RepublicCongo,Sub-Saharan Africa,167,42,43.5,-0.3,10,0,22,1,61.4,0.1,80.3,2.3,31.5,-9.1,44.8,-0.9,74.3,3.3,60.7,0,20,0,30,0,14.7,50,36,7.9,25.6,Republic of Congo,4,$18.30 ,4.5,4.9,"$4,589 ",N/A,1.9,"$2,930.90 ",22.2
39,Costa Rica,CostaRica,South and Central America / Caribbean,49,8,67,-1,50,-5,48,-5,82.9,0.1,90.1,-0.7,58.3,0.7,60.4,-2.3,75.4,2,85.1,0,70,0,50,0,2.4,25,30,13.5,18.2,Costa Rica,4.6,$55.00 ,4.2,3.7,"$11,927 ",7.7,4.9,"$2,104.10 ",30.8
40,Cote dIvoire,CoeDivoire,Sub-Saharan Africa,126,24,54.1,-0.2,25,5,22,0,77.9,-0.2,79.8,-6.8,43.3,0.6,54.6,-1.5,77.8,-3.9,70.3,0,40,5,50,0,7.3,36,25,17,25.9,Cªte d'Ivoire,22.7,$36.10 ,-4.7,1,"$1,590 ",N/A,4.9,$344.20 ,90.5
41,Croatia,Croatia,Europe,78,35,61.3,0.4,40,0,40,-1,75.4,-1,48.7,3.7,63,-0.4,42.4,-2,81.1,-0.3,87.5,0,75,5,60,0,1.2,40,20,21.4,41.4,Croatia,4.4,$80.30 ,0,-0.1,"$18,192 ",17.7,2.3,"$1,494.10 ",45.6
42,Cuba,Cuba,South and Central America / Caribbean,176,29,28.5,0.2,10,0,42,5,62.7,1.2,0,0,10,0,20,0,67.4,-3.9,62.7,0,0,0,10,0,8.7,50,30,18.2,75.2,Cuba,11.2,$120.30 ,2.7,N/A,"$10,704 ",N/A,4.7,$110.00 ,35.4
43,Cyprus,Cyprus,Europe,41,19,69,-2.8,70,0,63,0,79.8,-3.5,32.7,-4.4,80.7,-0.9,62.8,-7.1,84.1,-1.6,81.8,-0.3,75,0,60,-10,1.6,35,10,26.3,47.4,Cyprus,0.8,$23.70 ,0.5,1.7,"$29,074 ",5.6,3.5,$276.30 ,71.8
44,Czech Republic,CzechRepublic,Europe,29,15,70.9,1,70,0,44,-2,82,0,43.5,6.7,65.8,-1.9,85.5,7.6,81.7,0.2,86.8,-0.3,70,0,80,0,1.6,15,19,34.9,43.4,Czech Republic,10.5,$285.00 ,1.7,1.6,"$27,062 ",6.7,1.9,"$5,404.50 ",41.5
45,Denmark,Denmark,Europe,9,2,76.1,-0.1,90,0,94,1,39.8,0,5.9,5.9,98.4,-0.7,91.1,-1,80,-0.7,86.8,-0.3,85,-5,90,0,1.6,55.4,25,48.2,56,Denmark,5.6,$206.60 ,1.1,-0.6,"$37,152 ",8,2.8,"$14,770.80 ",46.4
46,Djibouti,Djibouti,Sub-Saharan Africa,127,25,53.9,0,30,0,30,-2,79.4,-0.9,48.8,6.4,30,-0.5,59.6,-2,76.6,-0.6,59.6,0,65,0,60,0,15.2,30,25,23.2,41.3,Djibouti,0.8,$2.20 ,4.5,4.8,"$2,642 ",N/A,5.1,$78.00 ,55.5
47,Dominica,Dominica,South and Central America / Caribbean,64,12,63.9,2.3,60,0,52,0,72,3.2,50.1,6.3,77,-3.5,68.8,6.9,85.3,0.3,74.3,0,70,10,30,0,7.9,35,30,26,40.8,Dominica,0.1,$1.00 ,0.5,2.3,"$13,816 ",23,2.3,$24.90 ,69.9
48,Dominican Republic,DominicanRepublic,South and Central America / Caribbean,87,17,59.7,-0.5,30,0,26,-4,83.7,-2.1,92.6,1.2,53.7,-1.8,55.6,-3.1,72.9,-2.2,77.8,-2.3,65,10,40,0,6.1,25,29,12.8,15.7,Dominican Republic,10.1,$93.40 ,4.5,5.9,"$9,287 ",14.6,8.5,"$2,371.10 ",29.3
49,Ecuador,Ecuador,South and Central America / Caribbean,159,26,46.9,-1.4,20,0,27,2,80.1,1.8,47.3,-17,51.5,-2.6,48,7,66.9,0.1,68.1,0,20,-5,40,0,6,35,23,15.2,41.9,Ecuador,15,$127.40 ,7.8,4.2,"$8,492 ",4.9,4.5,$567.80 ,18
50,Egypt,Egypt,Middle East / North Africa,125,13,54.8,-3.1,35,0,29,-2,85.6,-4.1,69.4,5.3,63.3,-0.5,43.3,-10.4,58.4,-3.9,73.8,-0.2,50,-15,40,0,8.1,25,25,13.9,32,Egypt,79.4,$519.00 ,1.8,5.1,"$6,540 ",12.2,11.1,($482.70),76.4
51,El Salvador,ElSalvador,South and Central America / Caribbean,53,10,66.7,-2,40,0,34,-2,85.7,0.2,85.4,-5.7,61.8,-1.4,62,-3.3,79.6,-2.5,79,0,70,-5,70,0,5.5,25,25,13.6,22.1,El Salvador,5.9,$44.60 ,1.4,0.9,"$7,550 ",7,3.6,$385.50 ,50.8
52,Equatorial Guinea,EquatorialGuinea,Sub-Saharan Africa,170,43,42.3,-0.5,15,-5,19,0,75.4,-0.1,39.3,11.3,44.4,-0.3,43.1,-0.7,72.8,-0.3,58.8,0,25,0,30,-10,15.6,35,35,2.4,45,Equatorial Guinea,1.4,$26.10 ,7.1,8.6,"$19,356 ",22.3,7.3,$737.10 ,8.4
53,Eritrea,Eritrea,Sub-Saharan Africa,173,45,36.3,0.1,10,0,25,-1,57,0,54.6,7.8,17.3,0.2,54.6,-8.6,55.5,2.6,69.1,0,0,0,20,0,5.4,30,30,50,38.9,Eritrea,5.5,$4.00 ,8.7,1.1,$735 ,N/A,13.3,$18.50 ,133.8
54,Estonia,Estonia,Europe,13,4,75.3,2.1,85,5,64,-1,79.7,0.6,56.2,17.4,78.2,2.5,56,-0.9,77.1,-2.2,86.8,-0.3,90,0,80,0,1.6,21,21,34,38.2,Estonia,1.3,$27.30 ,7.6,-0.5,"$20,380 ",10.1,5.1,$257.10 ,6
55,Ethiopia,Ethiopia,Sub-Saharan Africa,146,32,49.4,-2.6,30,0,27,0,74.2,-0.6,89.6,-1.5,52.4,-12,46.9,-8.6,64.7,-2.4,64,-1.6,25,0,20,0,10.5,35,35,11.2,18.6,Ethiopia,86.8,$94.90 ,7.5,9.7,"$1,093 ",N/A,18.1,$206.10 ,37.3
56,Fiji,Fiji,Asia-Pacific,105,18,57.2,-0.1,25,0,20,0,78,-0.1,78,-0.9,65.7,6.4,74.9,-0.9,72.8,-2.9,68,-1.7,40,10,50,-10,11,31,28,21.4,27.1,Fiji,0.9,$4.10 ,2,0.1,"$4,620 ",N/A,8.6,$204.30 ,53.9
57,Finland,Finland,Europe,16,7,74,1.7,90,0,94,2,66.9,1.5,12.2,7,94.8,-0.1,45.3,2.9,79.5,-1.8,86.8,-0.3,90,5,80,0,1.6,30.5,24.5,42.1,54.1,Finland,5.4,$195.70 ,2.9,0.7,"$36,236 ",7.9,3.3,$53.80 ,48.6
58,France,France,Europe,62,30,64.1,0.9,80,0,70,2,53,-0.8,5.6,0.3,84,0.3,50.5,-1.1,81.1,-1.2,81.8,-0.3,65,10,70,0,1.6,41,34.4,42.9,56.1,France,63.1,"$2,217.90 ",1.7,0.5,"$35,156 ",10.6,2.3,"$40,945.00 ",86.3
59,Gabon,Gabon,Sub-Saharan Africa,99,14,57.8,1.4,40,0,30,2,74.2,0.7,80.1,-1.4,56.5,-1.2,63.1,3.3,77.5,-0.2,61.1,0,55,10,40,0,14.5,35,35,11.2,25.8,Gabon,1.5,$24.60 ,5.8,3.7,"$16,183 ",N/A,1.3,$728.00 ,20.5
60,Gambia,Gambia,Sub-Saharan Africa,92,11,58.8,0,30,0,35,3,75.1,0.1,82.7,-2.8,59.5,3.2,59.3,-7.9,71.1,0.1,60.5,0,65,5,50,0,14.8,35,33,13.2,24,The Gambia,1.8,$3.50 ,3.3,5.2,"$1,943 ",N/A,4.8,$36.00 ,68.8
61,Georgia,Georgia,Europe,21,11,72.2,2.8,45,5,41,3,88.2,0.4,68.9,13.1,90.6,3.7,91.1,-1,72.6,-1.8,89.2,0,75,5,60,0,0.4,20,15,23.5,32.2,Georgia,4.5,$24.50 ,7,4.7,"$5,491 ",16.3,8.5,$974.60 ,33.9
62,Germany,Germany,Europe,19,10,72.8,1.8,90,0,80,1,61.8,0.5,37.3,5.1,92.1,1.6,43.8,2.4,81.2,-2.3,86.8,-0.3,85,0,70,10,1.6,47.5,15.8,36.3,45.7,Germany,81.8,"$3,099.10 ",3.1,1.1,"$37,897 ",5.5,2.5,"$40,402.10 ",81.5
63,Ghana,Ghana,Sub-Saharan Africa,77,7,61.3,0.6,50,0,39,-2,86,4.1,52.5,4.2,61.5,-1.4,61.6,-1.3,64.8,-2.1,67.8,0,70,5,60,0,8.6,25,25,12.1,39.8,Ghana,24.3,$74.90 ,13.6,8,"$3,083 ",N/A,8.7,"$3,222.30 ",43.4
64,Greece,Greece,Europe,117,40,55.4,0,40,-10,34,-1,66.2,0.9,24.7,8.5,77.1,0.8,42.1,5.5,73.4,0.8,81.8,-0.3,65,5,50,-10,1.6,45,20,30.9,50.1,Greece,11.2,$294.30 ,-6.9,-2.2,"$26,294 ",24.4,3.1,"$1,822.90 ",160.8
65,Guatemala,Guatemala,South and Central America / Caribbean,85,16,60,-0.9,30,0,27,-5,79.6,0,93.6,-0.3,50.8,2.3,48.7,-4.8,75.5,-1.8,85.2,0.6,60,0,50,0,2.4,31,31,10.8,14.7,Guatemala,14.7,$74.70 ,3.8,3.3,"$5,070 ",4.1,6.2,$984.60 ,24.1
66,Guinea,Guinea,Sub-Saharan Africa,137,29,51.2,0.4,20,0,21,1,69.6,0.3,82.6,0,46.1,7.6,63.8,-0.9,62.8,-4.3,61.2,0,45,0,40,0,11.9,40,35,14.7,24.1,Guinea,10.6,$11.50 ,3.6,2.4,"$1,083 ",N/A,21.5,"$1,210.80 ",72.2
67,Guinea-Bissau,GuineaBissau,Sub-Saharan Africa,138,30,51.1,1,20,0,22,1,89.1,0.4,82,18.7,41.3,0.8,54,-7,72.7,-3.2,65.3,0,35,0,30,0,9.9,20,25,7.9,24.5,Guinea-Bissau,1.7,$1.90 ,5.3,3.6,"$1,144 ",N/A,5,$19.40 ,45.2
68,Guyana,Guyana,South and Central America / Caribbean,129,22,53.8,2.5,30,0,25,-2,67.9,3.9,61.1,9.1,66.3,0.8,75.4,10.1,75.9,-1.5,71.2,-0.3,35,5,30,0,6.9,33.3,40,22.3,36,Guyana,0.8,$5.80 ,4.2,4.2,"$7,466 ",11,5.7,$165.30 ,61.8
69,Haiti,Haiti,South and Central America / Caribbean,152,24,48.1,-2.6,10,0,18,-4,80.7,0.1,66.3,-19,33.4,0.1,63.6,-1.8,74.2,-1.8,74.8,0,30,0,30,0,5.1,30,30,11.5,33.5,Haiti,10,$12.40 ,5.6,1.4,"$1,235 ",40.6,7.4,$181.00 ,10.6
70,Honduras,Honduras,South and Central America / Caribbean,96,18,58.4,-0.4,30,0,26,2,85.3,1.6,79.2,-4.2,61,0.4,26.8,-3.2,73.9,-0.2,77.1,0,65,0,60,0,6.5,25,25,14.8,26.3,Honduras,8.2,$35.70 ,3.6,2.9,"$4,345 ",5.1,6.8,"$1,014.40 ",28.1
71,Hong Kong,HongKong,Asia-Pacific,1,1,89.3,-0.6,90,0,84,0,92.9,-0.2,88.9,-2.1,98.9,0,86.2,-0.3,82.1,-3.7,90,0,90,0,90,0,0,15,16.5,14.5,19.2,Hong Kong,7.1,$351.10 ,5,3.6,"$49,137 ",3.4,5.3,"$83,155.60 ",33.9
72,Hungary,Hungary,Europe,48,24,67.3,0.2,65,-5,46,-1,79.7,1.1,29.7,5.3,79.1,-0.7,64.4,-3.2,77.1,1,86.8,-0.3,75,5,70,0,1.6,16,19,37.6,48.4,Hungary,10,$195.60 ,1.7,-0.6,"$19,591 ",10.7,3.9,"$4,697.60 ",80.4
73,Iceland,Iceland,Europe,23,13,72.1,1.2,90,0,83,-2,72.7,-0.8,36.2,14.4,91.5,-0.5,58.9,-2,75.8,3.3,87.8,-0.4,65,0,60,0,1.1,31.8,20,36.3,46.1,Iceland,0.3,$12.40 ,3.1,-0.2,"$38,061 ",6.7,4,"$1,013.20 ",99.2
74,India,India,Asia-Pacific,119,23,55.2,0.6,50,0,31,-2,78.3,2.2,77.9,3.1,37.3,1.8,73.6,-0.6,65.3,2.4,63.6,-0.5,35,0,40,0,8.2,30.9,34,7.4,27.1,India,1206.9,"$4,457.80 ",7.2,8.1,"$3,694 ",9.8,8.6,"$31,554.00 ",68.1
75,Indonesia,Indonesia,Asia-Pacific,108,20,56.9,0.5,30,0,30,2,83.4,-0.1,89.2,-2.4,50.2,-4.4,50.8,-1.3,75.5,0.3,75,1.1,35,0,50,10,2.5,30,25,11.6,19,Indonesia,241,"$1,124.60 ",6.5,5.9,"$4,666 ",6.6,5.4,"$18,906.00 ",25
76,Iran,Iran,Middle East / North Africa,168,15,43.2,0.9,10,0,27,5,80.8,0.2,80.5,3.6,65.3,0.5,55,3.5,58,-4,45.7,0,0,0,10,0,19.6,35,25,8.4,25.5,Iran,75.9,$990.20 ,2,3.7,"$13,053 ",15.3,21.3,"$4,150.00 ",12.7
77,Iraq,Iraq,Middle East / North Africa,N/A,N/A,N/A,N/A,N/A,N/A,18,N/A,N/A,N/A,N/A,N/A,47,N/A,70.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,15,,69.8,Iraq,32.8,$127.60 ,9.9,5.1,"$3,886 ",15,6,"$1,616.70 ",86.9
78,Ireland,Ireland,Europe,11,3,75.7,-1.2,90,0,75,-5,73.8,-0.1,28.8,-1.6,83.4,-9.4,76.6,-1.8,82.8,6.1,86.8,-0.3,90,0,70,0,1.6,41,12.5,28,48.7,Ireland,4.6,$181.60 ,0.7,-1,"$39,639 ",15,1.1,"$13,102.00 ",105
