CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,Score 2015,Change in Yearly Score from 2014,Property Rights,Change in Property Rights from 2014,Freedom from Corruption,Change in Freedom from Corruption from 2014,Fiscal Freedom ,Change in Fiscal Freedom from 2014,Gov't Spending,Change in Gov't Spending from 2014,Business Freedom,Change in Business Freedom from 2014,Labor Freedom,Change in Labor Freedom from 2014,Monetary Freedom,Change in Monetary Freedom from 2014,Trade Freedom,Change in Trade Freedom from 2014,Investment Freedom ,Change in Investment Freedom from 2014,Financial Freedom,Change in Financial Freedom from 2014,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
118,Nepal,Nepal,Asia-Pacific,152,34,51.3,1.2,30.0,0.0,31.0,9.7,85.6,-0.3,88.9,-0.7,65.7,7.2,44.3,0.5,70.5,-5.8,61.8,0.8,5.0,0.0,30.0,0.0,11.6,25.0,25.0,13.9,19.2,Nepal,27.9,$42.1 ,3.6,4.3,"$1,508",2.7,9.9,73.6,31.0
119,Netherlands,Netherlands,Europe,17,8,73.7,-0.5,90.0,0.0,83.0,-5.0,51.8,0.1,23.8,-1.8,84.3,-5.4,66.3,6.7,79.8,-0.1,88.0,0.2,90.0,0.0,80.0,0.0,1.0,52.0,25.0,38.6,50.4,Netherlands,16.8,$700.5 ,-0.8,-0.7,"$41,711",6.7,2.6,"24,388.9",74.9
120,New Zealand,NewZealand,Asia-Pacific,3,3,82.1,0.9,95.0,0.0,91.0,-3.0,70.4,-0.8,43.0,10.7,95.5,-0.6,91.4,1.2,87.6,1.3,86.8,0.0,80.0,0.0,80.0,0.0,1.6,33.0,28.0,32.9,43.6,New Zealand,4.5,$136.6 ,2.4,1.5,"$30,493",6.4,1.1,986.5,35.9
121,Nicaragua,Nicaragua,South and Central America / Caribbean,108,18,57.6,-0.8,10.0,-5.0,28.0,3.9,78.4,-0.2,76.6,-3.4,58.0,5.4,56.7,-3.6,67.8,-5.0,85.4,0.0,65.0,0.0,50.0,0.0,2.3,30.0,30.0,18.9,28.0,Nicaragua,6.1,$27.9 ,4.2,3.2,"$4,554",7.2,7.4,848.7,42.4
122,Niger,Niger,Sub-Saharan Africa,127,26,54.6,-0.5,30.0,0.0,34.0,8.0,76.6,-0.2,83.6,-4.8,39.2,4.0,40.9,-4.5,81.3,-7.0,65.6,0.0,55.0,0.0,40.0,0.0,9.7,35.0,30.0,14.5,23.4,Niger,16.6,$13.8 ,3.6,4.8,$829,5,2.3,631.4,33.8
123,Nigeria,Nigeria,Sub-Saharan Africa,120,22,55.6,1.3,30.0,0.0,25.0,2.3,85.2,0.2,76.1,1.6,48.3,0.3,77.7,11.3,70.4,-2.7,63.8,0.0,40.0,0.0,40.0,0.0,10.6,24.0,30.0,3.0,28.2,Nigeria,169.3,$479.3 ,6.3,7.0,"$2,831",7.5,8.5,"5,609.0",19.4
124,Norway,Norway,Europe,27,15,71.8,0.9,90.0,0.0,86.0,-2.1,52.1,1.5,43.8,1.6,92.1,1.2,48.2,3.6,81.7,3.0,89.4,0.3,75.0,0.0,60.0,0.0,0.3,47.8,27.0,42.2,43.3,Norway,5.1,$280.0 ,0.8,0.8,"$54,947",3.5,2.1,"9,329.7",29.5
125,Oman,Oman,Middle East / North Africa,56,6,66.7,-0.7,55.0,5.0,47.0,-1.2,98.5,0.0,44.2,-11.8,68.4,0.1,76.1,0.6,76.2,2.6,76.8,-1.9,65.0,0.0,60.0,0.0,4.1,0.0,12.0,2.5,43.1,Oman,3.2,$95.0 ,5.1,4.7,"$29,813",8.0,1.3,"1,625.5",7.0
126,Pakistan,Pakistan,Asia-Pacific,121,25,55.6,0.4,30.0,0.0,28.0,5.3,77.7,-2.9,86.1,-2.2,65.6,-3.8,42.1,-5.2,71.2,2.7,65.6,0.8,50.0,10.0,40.0,0.0,9.7,30.0,35.0,10.4,21.5,Pakistan,182.6,$575.0 ,3.6,2.9,"$3,149",5.2,7.4,"1,307.0",63.1
127,Panama,Panama,South and Central America / Caribbean,68,14,64.1,0.7,30.0,0.0,35.0,1.0,84.5,0.2,78.8,0.1,71.5,-1.5,41.5,2.1,76.4,1.3,78.4,4.2,75.0,0.0,70.0,0.0,5.8,25.0,25.0,17.4,26.6,Panama,3.7,$62.0 ,8.0,8.2,"$16,658",4.0,4.0,"4,651.3",41.3
128,Papua New Guinea,PapuaNewGuinea,Asia-Pacific,137,29,53.1,-0.8,20.0,0.0,25.0,4.8,66.9,0.2,68.7,-6.7,53.5,-3.5,74.5,0.8,72.7,-2.8,85.0,-0.1,35.0,0.0,30.0,0.0,2.5,42.0,30.0,25.4,32.3,Papua New Guinea,7.0,$19.8 ,4.6,7.4,"$2,834",2.4,3.8,18.2,32.6
129,Paraguay,Paraguay,South and Central America / Caribbean,83,15,61.1,-0.9,30.0,0.0,24.0,3.5,96.0,-0.2,81.9,-7.1,58.4,0.4,26.3,-2.6,78.3,-2.6,81.4,0.3,75.0,0.0,60.0,0.0,4.3,10.0,10.0,14.3,24.6,Paraguay,6.8,$46.4 ,13.0,4.8,"$6,823",5.2,2.7,382.4,15.2
130,Peru,Peru,South and Central America / Caribbean,47,8,67.7,0.3,40.0,0.0,38.0,4.0,78.6,-0.5,88.5,-0.6,67.7,-2.9,63.4,2.0,83.9,0.6,87.0,0.0,70.0,0.0,60.0,0.0,1.5,30.0,30.0,18.5,19.6,Peru,30.9,$344.2 ,5.0,5.5,"$11,124",3.8,2.8,"10,172.3",19.6
131,Philippines,Philippines,Asia-Pacific,76,13,62.2,2.1,30.0,0.0,36.0,9.9,79.1,-0.1,89.3,-3.0,55.3,-4.6,58.2,8.5,78.8,0.8,75.4,-0.1,60.0,0.0,60.0,10.0,4.8,32.0,30.0,12.9,18.9,Philippines,97.5,$456.4 ,7.2,5.2,"$4,682",7.3,2.9,"3,859.8",38.3
132,Poland,Poland,Europe,42,19,68.6,1.6,60.0,0.0,60.0,5.2,82.1,6.0,47.1,3.9,67.3,-2.8,60.4,0.0,81.3,3.5,88.0,0.2,70.0,0.0,70.0,0.0,1.0,32.0,19.0,20.1,42.0,Poland,38.5,$817.5 ,1.6,2.7,"$21,214",10.4,0.9,"-6,037.7",57.5
133,Portugal,Portugal,Europe,64,30,65.3,1.8,70.0,0.0,62.0,0.9,61.1,1.0,28.8,2.0,87.5,2.6,42.9,8.3,82.8,3.5,88.0,0.2,70.0,0.0,60.0,0.0,1.0,48.0,23.0,32.5,48.7,Portugal,10.6,$244.8 ,-1.4,-1.4,"$23,068",16.9,0.4,"3,114.0",128.8
134,Qatar,Qatar,Middle East / North Africa,32,3,70.8,-0.4,70.0,0.0,68.0,-4.4,99.7,-0.2,71.9,-0.2,70.5,-1.2,71.2,1.2,79.7,-1.5,81.8,2.0,45.0,0.0,50.0,0.0,4.1,0.0,0.0,5.1,30.6,Qatar,2.0,$199.6 ,6.1,10.7,"$98,814",0.6,3.1,-840.4,34.2
