Country Code,Table Name,Region,CPI 2016 Score,CPI 2015 Score,CPI 2014 Score,CPI 2013 Score,CPI 2012 Score
CHE,Switzerland,Europe & Central Asia,86,86,86,85,86
SYR,Syrian Arab Republic,Middle East & North Africa,13,18,20,17,26
TJK,Tajikistan,Europe & Central Asia,25,26,23,22,22
TZA,Tanzania,Sub-Saharan Africa,32,30,31,33,35
THA,Thailand,East Asia & Pacific,35,38,38,35,37
TGO,Togo,Sub-Saharan Africa,32,32,29,29,30
TTO,Trinidad and Tobago,Latin America & Caribbean,35,39,38,38,39
TUN,Tunisia,Middle East & North Africa,41,38,40,41,41
TUR,Turkey,Europe & Central Asia,41,42,45,50,49
TKM,Turkmenistan,Europe & Central Asia,22,18,17,17,17
UGA,Uganda,Sub-Saharan Africa,25,25,26,26,29
UKR,Ukraine,Europe & Central Asia,29,27,26,25,26
ARE,United Arab Emirates,Middle East & North Africa,66,70,70,69,68
GBR,United Kingdom,Europe & Central Asia,81,81,78,76,74
USA,United States,North America,74,76,74,73,73
URY,Uruguay,Latin America & Caribbean,71,74,73,73,72
UZB,Uzbekistan,Europe & Central Asia,21,19,18,17,17
VEN,"Venezuela, RB",Latin America & Caribbean,17,17,19,20,19
VNM,Vietnam,East Asia & Pacific,33,31,31,31,31
YEM,"Yemen, Rep.",Middle East & North Africa,14,18,19,18,23
ZMB,Zambia,Sub-Saharan Africa,38,38,38,38,37
ZWE,Zimbabwe,Sub-Saharan Africa,22,21,21,21,20
